specific_phenotype	label	phenotype
B37 Candidiasis	B37.tsv	A00 - B99 Certain infectious and parasitic diseases
C01 Malignant neoplasm of base of tongue	C01.tsv	C00 - D48 Neoplasms
C02 Malignant neoplasm of other and unspecified parts of tongue	C02.tsv	C00 - D48 Neoplasms
C09 Malignant neoplasm of tonsil	C09.tsv	C00 - D48 Neoplasms
C15 Malignant neoplasm of oesophagus	C15.tsv	C00 - D48 Neoplasms
C16 Malignant neoplasm of stomach	C16.tsv	C00 - D48 Neoplasms
C17 Malignant neoplasm of small intestine	C17.tsv	C00 - D48 Neoplasms
C18 Malignant neoplasm of colon	C18.tsv	C00 - D48 Neoplasms
C19 Malignant neoplasm of rectosigmoid junction	C19.tsv	C00 - D48 Neoplasms
C20 Malignant neoplasm of rectum	C20.tsv	C00 - D48 Neoplasms
C21 Malignant neoplasm of anus and anal canal	C21.tsv	C00 - D48 Neoplasms
C22 Malignant neoplasm of liver and intrahepatic bile ducts	C22.tsv	C00 - D48 Neoplasms
C25 Malignant neoplasm of pancreas	C25.tsv	C00 - D48 Neoplasms
C32 Malignant neoplasm of larynx	C32.tsv	C00 - D48 Neoplasms
C34 Malignant neoplasm of bronchus and lung	C34.tsv	C00 - D48 Neoplasms
C43 Malignant melanoma of skin	C43.tsv	C00 - D48 Neoplasms
C44 Other malignant neoplasms of skin	C44.tsv	C00 - D48 Neoplasms
C45 Mesothelioma	C45.tsv	C00 - D48 Neoplasms
C48 Malignant neoplasm of retroperitoneum and peritoneum	C48.tsv	C00 - D48 Neoplasms
C49 Malignant neoplasm of other connective and soft tissue	C49.tsv	C00 - D48 Neoplasms
C50 Malignant neoplasm of breast	C50.tsv	C00 - D48 Neoplasms
C53 Malignant neoplasm of cervix uteri	C53.tsv	C00 - D48 Neoplasms
C54 Malignant neoplasm of corpus uteri	C54.tsv	C00 - D48 Neoplasms
C56 Malignant neoplasm of ovary	C56.tsv	C00 - D48 Neoplasms
C61 Malignant neoplasm of prostate	C61.tsv	C00 - D48 Neoplasms
C62 Malignant neoplasm of testis	C62.tsv	C00 - D48 Neoplasms
"C64 Malignant neoplasm of kidney, except renal pelvis"	C64.tsv	C00 - D48 Neoplasms
C67 Malignant neoplasm of bladder	C67.tsv	C00 - D48 Neoplasms
C69 Malignant neoplasm of eye and adnexa	C69.tsv	C00 - D48 Neoplasms
C71 Malignant neoplasm of brain	C71.tsv	C00 - D48 Neoplasms
C73 Malignant neoplasm of thyroid gland	C73.tsv	C00 - D48 Neoplasms
C77 Secondary and unspecified malignant neoplasm of lymph nodes	C77.tsv	C00 - D48 Neoplasms
C78 Secondary malignant neoplasm of respiratory and digestive organs	C78.tsv	C00 - D48 Neoplasms
C79 Secondary malignant neoplasm of other sites	C79.tsv	C00 - D48 Neoplasms
C80 Malignant neoplasm without specification of site	C80.tsv	C00 - D48 Neoplasms
C81 Hodgkin's disease	C81.tsv	C00 - D48 Neoplasms
C82 Follicular [nodular] non-Hodgkin's lymphoma	C82.tsv	C00 - D48 Neoplasms
C83 Diffuse non-Hodgkin's lymphoma	C83.tsv	C00 - D48 Neoplasms
C85 Other and unspecified types of non-Hodgkin's lymphoma	C85.tsv	C00 - D48 Neoplasms
C90 Multiple myeloma and malignant plasma cell neoplasms	C90.tsv	C00 - D48 Neoplasms
C91 Lymphoid leukaemia	C91.tsv	C00 - D48 Neoplasms
C92 Myeloid leukaemia	C92.tsv	C00 - D48 Neoplasms
D03 Melanoma in situ	D03.tsv	C00 - D48 Neoplasms
D04 Carcinoma in situ of skin	D04.tsv	C00 - D48 Neoplasms
D05 Carcinoma in situ of breast	D05.tsv	C00 - D48 Neoplasms
D06 Carcinoma in situ of cervix uteri	D06.tsv	C00 - D48 Neoplasms
D07 Carcinoma in situ of other and unspecified genital organs	D07.tsv	C00 - D48 Neoplasms
D09 Carcinoma in situ of other and unspecified sites	D09.tsv	C00 - D48 Neoplasms
D10 Benign neoplasm of mouth and pharynx	D10.tsv	C00 - D48 Neoplasms
D11 Benign neoplasm of major salivary glands	D11.tsv	C00 - D48 Neoplasms
"D12 Benign neoplasm of colon, rectum, anus and anal canal"	D12.tsv	C00 - D48 Neoplasms
D13 Benign neoplasm of other and ill-defined parts of digestive system	D13.tsv	C00 - D48 Neoplasms
D14 Benign neoplasm of middle ear and respiratory system	D14.tsv	C00 - D48 Neoplasms
D16 Benign neoplasm of bone and articular cartilage	D16.tsv	C00 - D48 Neoplasms
D17 Benign lipomatous neoplasm	D17.tsv	C00 - D48 Neoplasms
"D18 Haemangioma and lymphangioma, any site"	D18.tsv	C00 - D48 Neoplasms
D21 Other benign neoplasms of connective and other soft tissue	D21.tsv	C00 - D48 Neoplasms
D22 Melanocytic naevi	D22.tsv	C00 - D48 Neoplasms
D23 Other benign neoplasms of skin	D23.tsv	C00 - D48 Neoplasms
D24 Benign neoplasm of breast	D24.tsv	C00 - D48 Neoplasms
D25 Leiomyoma of uterus	D25.tsv	C00 - D48 Neoplasms
D26 Other benign neoplasms of uterus	D26.tsv	C00 - D48 Neoplasms
D27 Benign neoplasm of ovary	D27.tsv	C00 - D48 Neoplasms
D28 Benign neoplasm of other and unspecified female genital organs	D28.tsv	C00 - D48 Neoplasms
D30 Benign neoplasm of urinary organs	D30.tsv	C00 - D48 Neoplasms
D32 Benign neoplasm of meninges	D32.tsv	C00 - D48 Neoplasms
D33 Benign neoplasm of brain and other parts of central nervous system	D33.tsv	C00 - D48 Neoplasms
D34 Benign neoplasm of thyroid gland	D34.tsv	C00 - D48 Neoplasms
D35 Benign neoplasm of other and unspecified endocrine glands	D35.tsv	C00 - D48 Neoplasms
D36 Benign neoplasm of other and unspecified sites	D36.tsv	C00 - D48 Neoplasms
D37 Neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs	D37.tsv	C00 - D48 Neoplasms
D38 Neoplasm of uncertain or unknown behaviour of middle ear and respiratory and intrathoracic organs	D38.tsv	C00 - D48 Neoplasms
D39 Neoplasm of uncertain or unknown behaviour of female genital organs	D39.tsv	C00 - D48 Neoplasms
D41 Neoplasm of uncertain or unknown behaviour of urinary organs	D41.tsv	C00 - D48 Neoplasms
D43 Neoplasm of uncertain or unknown behaviour of brain and central nervous system	D43.tsv	C00 - D48 Neoplasms
D44 Neoplasm of uncertain or unknown behaviour of endocrine glands	D44.tsv	C00 - D48 Neoplasms
D45 Polycythaemia vera	D45.tsv	C00 - D48 Neoplasms
D46 Myelodysplastic syndromes	D46.tsv	C00 - D48 Neoplasms
D47 Other neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue	D47.tsv	C00 - D48 Neoplasms
D48 Neoplasm of uncertain or unknown behaviour of other and unspecified sites	D48.tsv	C00 - D48 Neoplasms
D50 Iron deficiency anaemia	D50.tsv	D50 - D89 Diseases of the blood/blood-forming organs; certain disorders involving immune mechanism
D61 Other aplastic anaemias	D61.tsv	D50 - D89 Diseases of the blood/blood-forming organs; certain disorders involving immune mechanism
D63 Anaemia in chronic diseases classified elsewhere	D63.tsv	D50 - D89 Diseases of the blood/blood-forming organs; certain disorders involving immune mechanism
D64 Other anaemias	D64.tsv	D50 - D89 Diseases of the blood/blood-forming organs; certain disorders involving immune mechanism
D69 Purpura and other haemorrhagic conditions	D69.tsv	D50 - D89 Diseases of the blood/blood-forming organs; certain disorders involving immune mechanism
D70 Agranulocytosis	D70.tsv	D50 - D89 Diseases of the blood/blood-forming organs; certain disorders involving immune mechanism
D75 Other diseases of blood and blood-forming organs	D75.tsv	D50 - D89 Diseases of the blood/blood-forming organs; certain disorders involving immune mechanism
D86 Sarcoidosis	D86.tsv	D50 - D89 Diseases of the blood/blood-forming organs; certain disorders involving immune mechanism
D89 Other disorders involving the immune mechanism, not elsewhere classified	D89.tsv	D50 - D89 Diseases of the blood/blood-forming organs; certain disorders involving immune mechanism
E03 Other hypothyroidism	E03.tsv	"E00 - E90 Endocrine, nutritional and metabolic diseases"
E04 Other non-toxic goitre	E04.tsv	"E00 - E90 Endocrine, nutritional and metabolic diseases"
E05 Thyrotoxicosis [hyperthyroidism]	E05.tsv	"E00 - E90 Endocrine, nutritional and metabolic diseases"
E10 Insulin-dependent diabetes mellitus	E10.tsv	"E00 - E90 Endocrine, nutritional and metabolic diseases"
E11 Non-insulin-dependent diabetes mellitus	E11.tsv	"E00 - E90 Endocrine, nutritional and metabolic diseases"
E14 Unspecified diabetes mellitus	E14.tsv	"E00 - E90 Endocrine, nutritional and metabolic diseases"
E16 Other disorders of pancreatic internal secretion	E16.tsv	"E00 - E90 Endocrine, nutritional and metabolic diseases"
E21 Hyperparathyroidism and other disorders of parathyroid gland	E21.tsv	"E00 - E90 Endocrine, nutritional and metabolic diseases"
E22 Hyperfunction of pituitary gland	E22.tsv	"E00 - E90 Endocrine, nutritional and metabolic diseases"
E23 Hypofunction and other disorders of pituitary gland	E23.tsv	"E00 - E90 Endocrine, nutritional and metabolic diseases"
E27 Other disorders of adrenal gland	E27.tsv	"E00 - E90 Endocrine, nutritional and metabolic diseases"
E66 Obesity	E66.tsv	"E00 - E90 Endocrine, nutritional and metabolic diseases"
E83 Disorders of mineral metabolism	E83.tsv	"E00 - E90 Endocrine, nutritional and metabolic diseases"
E86 Volume depletion	E86.tsv	"E00 - E90 Endocrine, nutritional and metabolic diseases"
"E87 Other disorders of fluid, electrolyte and acid-base balance"	E87.tsv	"E00 - E90 Endocrine, nutritional and metabolic diseases"
"F05 Delirium, not induced by alcohol and other psychoactive substances"	F05.tsv	F00 - F99 Mental and behavioural disorders
F10 Mental and behavioural disorders due to use of alcohol	F10.tsv	F00 - F99 Mental and behavioural disorders
F20 Schizophrenia	F20.tsv	F00 - F99 Mental and behavioural disorders
F31 Bipolar affective disorder	F31.tsv	F00 - F99 Mental and behavioural disorders
F32 Depressive episode	F32.tsv	F00 - F99 Mental and behavioural disorders
F33 Recurrent depressive disorder	F33.tsv	F00 - F99 Mental and behavioural disorders
F41 Other anxiety disorders	F41.tsv	F00 - F99 Mental and behavioural disorders
"F43 Reaction to severe stress, and adjustment disorders"	F43.tsv	F00 - F99 Mental and behavioural disorders
F45 Somatoform disorders	F45.tsv	F00 - F99 Mental and behavioural disorders
"F52 Sexual dysfunction, not caused by organic disorder or disease"	F52.tsv	F00 - F99 Mental and behavioural disorders
"F99 Mental disorder, not otherwise specified"	F99.tsv	F00 - F99 Mental and behavioural disorders
G12 Spinal muscular atrophy and related syndromes	G12.tsv	G00 - G99 Diseases of the nervous system
G20 Parkinson's disease	G20.tsv	G00 - G99 Diseases of the nervous system
G24 Dystonia	G24.tsv	G00 - G99 Diseases of the nervous system
G35 Multiple sclerosis	G35.tsv	G00 - G99 Diseases of the nervous system
G37 Other demyelinating diseases of central nervous system	G37.tsv	G00 - G99 Diseases of the nervous system
G40 Epilepsy	G40.tsv	G00 - G99 Diseases of the nervous system
G43 Migraine	G43.tsv	G00 - G99 Diseases of the nervous system
G44 Other headache syndromes	G44.tsv	G00 - G99 Diseases of the nervous system
G45 Transient cerebral ischaemic attacks and related syndromes	G45.tsv	G00 - G99 Diseases of the nervous system
G47 Sleep disorders	G47.tsv	G00 - G99 Diseases of the nervous system
G50 Disorders of trigeminal nerve	G50.tsv	G00 - G99 Diseases of the nervous system
G51 Facial nerve disorders	G51.tsv	G00 - G99 Diseases of the nervous system
G54 Nerve root and plexus disorders	G54.tsv	G00 - G99 Diseases of the nervous system
G56 Mononeuropathies of upper limb	G56.tsv	G00 - G99 Diseases of the nervous system
G57 Mononeuropathies of lower limb	G57.tsv	G00 - G99 Diseases of the nervous system
G58 Other mononeuropathies	G58.tsv	G00 - G99 Diseases of the nervous system
G61 Inflammatory polyneuropathy	G61.tsv	G00 - G99 Diseases of the nervous system
G62 Other polyneuropathies	G62.tsv	G00 - G99 Diseases of the nervous system
G81 Hemiplegia	G81.tsv	G00 - G99 Diseases of the nervous system
G93 Other disorders of brain	G93.tsv	G00 - G99 Diseases of the nervous system
G95 Other diseases of spinal cord	G95.tsv	G00 - G99 Diseases of the nervous system
H00 Hordeolum and chalazion	H00.tsv	H00 - H59 Diseases of the eye and adnexa
H01 Other inflammation of eyelid	H01.tsv	H00 - H59 Diseases of the eye and adnexa
H02 Other disorders of eyelid	H02.tsv	H00 - H59 Diseases of the eye and adnexa
H04 Disorders of lachrymal system	H04.tsv	H00 - H59 Diseases of the eye and adnexa
H05 Disorders of orbit	H05.tsv	H00 - H59 Diseases of the eye and adnexa
H11 Other disorders of conjunctiva	H11.tsv	H00 - H59 Diseases of the eye and adnexa
H16 Keratitis	H16.tsv	H00 - H59 Diseases of the eye and adnexa
H18 Other disorders of cornea	H18.tsv	H00 - H59 Diseases of the eye and adnexa
H25 Senile cataract	H25.tsv	H00 - H59 Diseases of the eye and adnexa
H26 Other cataract	H26.tsv	H00 - H59 Diseases of the eye and adnexa
H27 Other disorders of lens	H27.tsv	H00 - H59 Diseases of the eye and adnexa
H33 Retinal detachments and breaks	H33.tsv	H00 - H59 Diseases of the eye and adnexa
H34 Retinal vascular occlusions	H34.tsv	H00 - H59 Diseases of the eye and adnexa
H35 Other retinal disorders	H35.tsv	H00 - H59 Diseases of the eye and adnexa
H40 Glaucoma	H40.tsv	H00 - H59 Diseases of the eye and adnexa
H43 Disorders of vitreous body	H43.tsv	H00 - H59 Diseases of the eye and adnexa
H49 Paralytic strabismus	H49.tsv	H00 - H59 Diseases of the eye and adnexa
H50 Other strabismus	H50.tsv	H00 - H59 Diseases of the eye and adnexa
H52 Disorders of refraction and accommodation	H52.tsv	H00 - H59 Diseases of the eye and adnexa
H53 Visual disturbances	H53.tsv	H00 - H59 Diseases of the eye and adnexa
H57 Other disorders of eye and adnexa	H57.tsv	H00 - H59 Diseases of the eye and adnexa
"H59 Postprocedural disorders of eye and adnexa, not elsewhere classified"	H59.tsv	H00 - H59 Diseases of the eye and adnexa
H60 Otitis externa	H60.tsv	H60 - H95 Diseases of the ear and mastoid process
H61 Other disorders of external ear	H61.tsv	H60 - H95 Diseases of the ear and mastoid process
H65 Nonsuppurative otitis media	H65.tsv	H60 - H95 Diseases of the ear and mastoid process
H66 Suppurative and unspecified otitis media	H66.tsv	H60 - H95 Diseases of the ear and mastoid process
H69 Other disorders of Eustachian tube	H69.tsv	H60 - H95 Diseases of the ear and mastoid process
H71 Cholesteatoma of middle ear	H71.tsv	H60 - H95 Diseases of the ear and mastoid process
H72 Perforation of tympanic membrane	H72.tsv	H60 - H95 Diseases of the ear and mastoid process
H73 Other disorders of tympanic membrane	H73.tsv	H60 - H95 Diseases of the ear and mastoid process
H74 Other disorders of middle ear and mastoid	H74.tsv	H60 - H95 Diseases of the ear and mastoid process
H80 Otosclerosis	H80.tsv	H60 - H95 Diseases of the ear and mastoid process
H81 Disorders of vestibular function	H81.tsv	H60 - H95 Diseases of the ear and mastoid process
H83 Other diseases of inner ear	H83.tsv	H60 - H95 Diseases of the ear and mastoid process
H90 Conductive and sensorineural hearing loss	H90.tsv	H60 - H95 Diseases of the ear and mastoid process
H91 Other hearing loss	H91.tsv	H60 - H95 Diseases of the ear and mastoid process
H92 Otalgia and effusion of ear	H92.tsv	H60 - H95 Diseases of the ear and mastoid process
"H93 Other disorders of ear, not elsewhere classified"	H93.tsv	H60 - H95 Diseases of the ear and mastoid process
I08 Multiple valve diseases	I08.tsv	I00 - I99 Diseases of the circulatory system
I10 Essential (primary) hypertension	I10.tsv	I00 - I99 Diseases of the circulatory system
I12 Hypertensive renal disease	I12.tsv	I00 - I99 Diseases of the circulatory system
I20 Angina pectoris	I20.tsv	I00 - I99 Diseases of the circulatory system
I21 Acute myocardial infarction	I21.tsv	I00 - I99 Diseases of the circulatory system
I22 Subsequent myocardial infarction	I22.tsv	I00 - I99 Diseases of the circulatory system
I24 Other acute ischaemic heart diseases	I24.tsv	I00 - I99 Diseases of the circulatory system
I25 Chronic ischaemic heart disease	I25.tsv	I00 - I99 Diseases of the circulatory system
I26 Pulmonary embolism	I26.tsv	I00 - I99 Diseases of the circulatory system
I27 Other pulmonary heart diseases	I27.tsv	I00 - I99 Diseases of the circulatory system
I30 Acute pericarditis	I30.tsv	I00 - I99 Diseases of the circulatory system
I31 Other diseases of pericardium	I31.tsv	I00 - I99 Diseases of the circulatory system
I33 Acute and subacute endocarditis	I33.tsv	I00 - I99 Diseases of the circulatory system
I34 Nonrheumatic mitral valve disorders	I34.tsv	I00 - I99 Diseases of the circulatory system
I35 Nonrheumatic aortic valve disorders	I35.tsv	I00 - I99 Diseases of the circulatory system
I42 Cardiomyopathy	I42.tsv	I00 - I99 Diseases of the circulatory system
I44 Atrioventricular and left bundle-branch block	I44.tsv	I00 - I99 Diseases of the circulatory system
I45 Other conduction disorders	I45.tsv	I00 - I99 Diseases of the circulatory system
I46 Cardiac arrest	I46.tsv	I00 - I99 Diseases of the circulatory system
I47 Paroxysmal tachycardia	I47.tsv	I00 - I99 Diseases of the circulatory system
I48 Atrial fibrillation and flutter	I48.tsv	I00 - I99 Diseases of the circulatory system
I49 Other cardiac arrhythmias	I49.tsv	I00 - I99 Diseases of the circulatory system
I50 Heart failure	I50.tsv	I00 - I99 Diseases of the circulatory system
I51 Complications and ill-defined descriptions of heart disease	I51.tsv	I00 - I99 Diseases of the circulatory system
I60 Subarachnoid haemorrhage	I60.tsv	I00 - I99 Diseases of the circulatory system
I61 Intracerebral haemorrhage	I61.tsv	I00 - I99 Diseases of the circulatory system
I62 Other nontraumatic intracranial haemorrhage	I62.tsv	I00 - I99 Diseases of the circulatory system
I63 Cerebral infarction	I63.tsv	I00 - I99 Diseases of the circulatory system
"I64 Stroke, not specified as haemorrhage or infarction"	I64.tsv	I00 - I99 Diseases of the circulatory system
"I65 Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction"	I65.tsv	I00 - I99 Diseases of the circulatory system
I67 Other cerebrovascular diseases	I67.tsv	I00 - I99 Diseases of the circulatory system
I70 Atherosclerosis	I70.tsv	I00 - I99 Diseases of the circulatory system
I71 Aortic aneurysm and dissection	I71.tsv	I00 - I99 Diseases of the circulatory system
I72 Other aneurysm	I72.tsv	I00 - I99 Diseases of the circulatory system
I73 Other peripheral vascular diseases	I73.tsv	I00 - I99 Diseases of the circulatory system
I74 Arterial embolism and thrombosis	I74.tsv	I00 - I99 Diseases of the circulatory system
I77 Other disorders of arteries and arterioles	I77.tsv	I00 - I99 Diseases of the circulatory system
I78 Diseases of capillaries	I78.tsv	I00 - I99 Diseases of the circulatory system
I80 Phlebitis and thrombophlebitis	I80.tsv	I00 - I99 Diseases of the circulatory system
I82 Other venous embolism and thrombosis	I82.tsv	I00 - I99 Diseases of the circulatory system
I83 Varicose veins of lower extremities	I83.tsv	I00 - I99 Diseases of the circulatory system
I84 Haemorrhoids	I84.tsv	I00 - I99 Diseases of the circulatory system
I85 Oesophageal varices	I85.tsv	I00 - I99 Diseases of the circulatory system
I86 Varicose veins of other sites	I86.tsv	I00 - I99 Diseases of the circulatory system
I87 Other disorders of veins	I87.tsv	I00 - I99 Diseases of the circulatory system
I89 Other non-infective disorders of lymphatic vessels and lymph nodes	I89.tsv	I00 - I99 Diseases of the circulatory system
I95 Hypotension	I95.tsv	I00 - I99 Diseases of the circulatory system
J01 Acute sinusitis	J01.tsv	J00 - J99 Diseases of the respiratory system
J02 Acute pharyngitis	J02.tsv	J00 - J99 Diseases of the respiratory system
J03 Acute tonsillitis	J03.tsv	J00 - J99 Diseases of the respiratory system
J06 Acute upper respiratory infections of multiple and unspecified sites	J06.tsv	J00 - J99 Diseases of the respiratory system
J13 Pneumonia due to Streptococcus pneumoniae	J13.tsv	J00 - J99 Diseases of the respiratory system
"J15 Bacterial pneumonia, not elsewhere classified"	J15.tsv	J00 - J99 Diseases of the respiratory system
"J18 Pneumonia, organism unspecified"	J18.tsv	J00 - J99 Diseases of the respiratory system
J20 Acute bronchitis	J20.tsv	J00 - J99 Diseases of the respiratory system
J22 Unspecified acute lower respiratory infection	J22.tsv	J00 - J99 Diseases of the respiratory system
"J31 Chronic rhinitis, nasopharyngitis and pharyngitis"	J31.tsv	J00 - J99 Diseases of the respiratory system
J32 Chronic sinusitis	J32.tsv	J00 - J99 Diseases of the respiratory system
J33 Nasal polyp	J33.tsv	J00 - J99 Diseases of the respiratory system
J34 Other disorders of nose and nasal sinuses	J34.tsv	J00 - J99 Diseases of the respiratory system
J35 Chronic diseases of tonsils and adenoids	J35.tsv	J00 - J99 Diseases of the respiratory system
J36 Peritonsillar abscess	J36.tsv	J00 - J99 Diseases of the respiratory system
"J38 Diseases of vocal cords and larynx, not elsewhere classified"	J38.tsv	J00 - J99 Diseases of the respiratory system
J39 Other diseases of upper respiratory tract	J39.tsv	J00 - J99 Diseases of the respiratory system
"J40 Bronchitis, not specified as acute or chronic"	J40.tsv	J00 - J99 Diseases of the respiratory system
J43 Emphysema	J43.tsv	J00 - J99 Diseases of the respiratory system
J44 Other chronic obstructive pulmonary disease	J44.tsv	J00 - J99 Diseases of the respiratory system
J45 Asthma	J45.tsv	J00 - J99 Diseases of the respiratory system
J46 Status asthmaticus	J46.tsv	J00 - J99 Diseases of the respiratory system
J47 Bronchiectasis	J47.tsv	J00 - J99 Diseases of the respiratory system
J69 Pneumonitis due to solids and liquids	J69.tsv	J00 - J99 Diseases of the respiratory system
J84 Other interstitial pulmonary diseases	J84.tsv	J00 - J99 Diseases of the respiratory system
J86 Pyothorax	J86.tsv	J00 - J99 Diseases of the respiratory system
"J90 Pleural effusion, not elsewhere classified"	J90.tsv	J00 - J99 Diseases of the respiratory system
J93 Pneumothorax	J93.tsv	J00 - J99 Diseases of the respiratory system
"J96 Respiratory failure, not elsewhere classified"	J96.tsv	J00 - J99 Diseases of the respiratory system
J98 Other respiratory disorders	J98.tsv	J00 - J99 Diseases of the respiratory system
K00 Disorders of tooth development and eruption	K00.tsv	K00 - K93 Diseases of the digestive system
K01 Embedded and impacted teeth	K01.tsv	K00 - K93 Diseases of the digestive system
K02 Dental caries	K02.tsv	K00 - K93 Diseases of the digestive system
K04 Diseases of pulp and periapical tissues	K04.tsv	K00 - K93 Diseases of the digestive system
K05 Gingivitis and periodontal diseases	K05.tsv	K00 - K93 Diseases of the digestive system
K06 Other disorders of gingiva and edentulous alveolar ridge	K06.tsv	K00 - K93 Diseases of the digestive system
K07 Dentofacial anomalies [including malocclusion]	K07.tsv	K00 - K93 Diseases of the digestive system
K08 Other disorders of teeth and supporting structures	K08.tsv	K00 - K93 Diseases of the digestive system
"K09 Cysts of oral region, not elsewhere classified"	K09.tsv	K00 - K93 Diseases of the digestive system
K10 Other diseases of jaws	K10.tsv	K00 - K93 Diseases of the digestive system
K11 Diseases of salivary glands	K11.tsv	K00 - K93 Diseases of the digestive system
K12 Stomatitis and related lesions	K12.tsv	K00 - K93 Diseases of the digestive system
K13 Other diseases of lip and oral mucosa	K13.tsv	K00 - K93 Diseases of the digestive system
K14 Diseases of tongue	K14.tsv	K00 - K93 Diseases of the digestive system
K20 Oesophagitis	K20.tsv	K00 - K93 Diseases of the digestive system
K21 Gastro-oesophageal reflux disease	K21.tsv	K00 - K93 Diseases of the digestive system
K22 Other diseases of oesophagus	K22.tsv	K00 - K93 Diseases of the digestive system
K25 Gastric ulcer	K25.tsv	K00 - K93 Diseases of the digestive system
K26 Duodenal ulcer	K26.tsv	K00 - K93 Diseases of the digestive system
K29 Gastritis and duodenitis	K29.tsv	K00 - K93 Diseases of the digestive system
K30 Dyspepsia	K30.tsv	K00 - K93 Diseases of the digestive system
K31 Other diseases of stomach and duodenum	K31.tsv	K00 - K93 Diseases of the digestive system
K35 Acute appendicitis	K35.tsv	K00 - K93 Diseases of the digestive system
K37 Unspecified appendicitis	K37.tsv	K00 - K93 Diseases of the digestive system
K38 Other diseases of appendix	K38.tsv	K00 - K93 Diseases of the digestive system
K40 Inguinal hernia	K40.tsv	K00 - K93 Diseases of the digestive system
K41 Femoral hernia	K41.tsv	K00 - K93 Diseases of the digestive system
K42 Umbilical hernia	K42.tsv	K00 - K93 Diseases of the digestive system
K43 Ventral hernia	K43.tsv	K00 - K93 Diseases of the digestive system
K44 Diaphragmatic hernia	K44.tsv	K00 - K93 Diseases of the digestive system
K46 Unspecified abdominal hernia	K46.tsv	K00 - K93 Diseases of the digestive system
K50 Crohn's disease [regional enteritis]	K50.tsv	K00 - K93 Diseases of the digestive system
K51 Ulcerative colitis	K51.tsv	K00 - K93 Diseases of the digestive system
K52 Other non-infective gastro-enteritis and colitis	K52.tsv	K00 - K93 Diseases of the digestive system
K55 Vascular disorders of intestine	K55.tsv	K00 - K93 Diseases of the digestive system
K56 Paralytic ileus and intestinal obstruction without hernia	K56.tsv	K00 - K93 Diseases of the digestive system
K57 Diverticular disease of intestine	K57.tsv	K00 - K93 Diseases of the digestive system
K58 Irritable bowel syndrome	K58.tsv	K00 - K93 Diseases of the digestive system
K59 Other functional intestinal disorders	K59.tsv	K00 - K93 Diseases of the digestive system
K60 Fissure and fistula of anal and rectal regions	K60.tsv	K00 - K93 Diseases of the digestive system
